Audio:FILE,Text:LABEL
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0121.wav,甚 至 出 现 交 易 几 乎 停 滞 的 情 况 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0122.wav,一 二 线 城 市 虽 然 也 处 于 调 整 中 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0123.wav,但 因 为 聚 集 了 过 多 公 共 资 源 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0124.wav,为 了 规 避 三 四 线 城 市 明 显 过 剩 的 市 场 风 险 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0125.wav,标 杆 房 企 必 然 调 整 市 场 战 略 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0126.wav,因 此 土 地 储 备 至 关 重 要 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0127.wav,中 原 地 产 首 席 分 析 师 张 大 伟 说 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0128.wav,一 线 城 市 土 地 供 应 量 减 少 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0129.wav,也 助 推 了 土 地 市 场 的 火 爆 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0130.wav,北 京 仅 新 增 住 宅 土 地 供 应 十 宗 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0131.wav,开 发 边 界 将 作 为 城 市 发 展 的 刚 性 约 定 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0132.wav,不 得 超 越 界 限 盲 目 扩 张 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0133.wav,目 前 挂 牌 的 只 有 几 宗 土 地 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0134.wav,再 加 上 近 期 一 二 线 楼 市 升 温 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0135.wav,房 企 对 土 地 的 争 抢 更 加 积 极 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0136.wav,土 地 市 场 体 现 了 房 企 对 一 二 线 市 场 的 看 重 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0137.wav,面 包 价 格 会 跟 风 上 涨 吗 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0138.wav,成 交 量 环 比 大 幅 增 加 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0139.wav,国 家 统 计 局 的 数 据 显 示 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0140.wav,其 中 广 州 深 圳 甚 至 出 现 了 多 个 日 光 盘 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0141.wav,零 三 年 到 去 年 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0142.wav,市 场 基 数 已 不 可 同 日 而 语 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0143.wav,在 市 场 整 体 从 高 速 增 长 进 入 中 高 速 增 长 区 间 的 同 时 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0144.wav,一 线 城 市 在 价 格 较 高 的 基 础 上 整 体 回 升 并 领 涨 全 国 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0145.wav,绝 大 部 分 三 线 城 市 房 价 仍 然 下 降 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0146.wav,一 线 楼 市 成 交 量 激 增 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0147.wav,三 四 线 城 市 依 然 冷 清 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0148.wav,根 据 中 原 地 产 研 究 中 心 最 新 数 据 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0149.wav,一 线 城 市 签 约 十 七 万 套 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0150.wav,同 比 涨 幅 达 到 百 分 之 四 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0151.wav,三 线 城 市 签 约 十 六 万 套 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0152.wav,四 线 城 市 成 交 量 有 轻 微 下 调 
speech_asr_aishell_testsets/wav/test/S0764/BAC009S0764W0153.wav,住 房 城 乡 建 设 部 政 策 研 究 中 心 主 任 秦 虹 表 示 
